,city,lat,lng,country,LSOA,postcode
0,Dagenham,51.5397,0.1422,United Kingdom,E01000084,RM96HT
1,Barking,51.54,0.08,United Kingdom,E01000007,IG118NZ
2,Edgware,51.6185,-0.2729,United Kingdom,E01000192,HA88PF
3,Finchley,51.599,-0.187,United Kingdom,E01000197,N32HE
4,Hendon,51.5837,-0.2252,United Kingdom,E01000237,NW42TG
5,Barnet,51.6444,-0.1997,United Kingdom,E01000289,EN52FR
6,Mill Hill,51.62,-0.23,United Kingdom,E01000261,NW71QS
7,Friern Barnet,51.6126,-0.1584,United Kingdom,E01000162,N120NB
8,East Barnet,51.643,-0.163,United Kingdom,E01000174,EN48HG
9,East Finchley,51.5902,-0.1753,United Kingdom,E01000183,N20LR
10,Totteridge,51.6354,-0.2,United Kingdom,E01000291,N208AQ
11,Erith,51.48,0.1778,United Kingdom,E01000403,DA81FB
12,Sidcup,51.4263,0.1024,United Kingdom,E01000457,DA146DW
13,Welling,51.4594,0.1097,United Kingdom,E01000388,DA162AP
14,Bexleyheath,51.459,0.138,United Kingdom,E01000360,DA68DB
15,Wembley,51.5528,-0.2979,United Kingdom,E01000635,HA02BS
16,Kenton,51.5878,-0.3086,United Kingdom,E01002175,HA38HS
17,Dollis Hill,51.5641,-0.2341,United Kingdom,E01000501,NW27GZ
18,Wealdstone,51.5957,-0.3352,United Kingdom,E01002179,HA37AL
19,Bromley,51.407,0.021,United Kingdom,E01000825,BR2
20,Beckenham,51.408,-0.022,United Kingdom,E01000714,BR31DA
21,Hayes,51.378,0.0192,United Kingdom,E01000767,BR27LE
22,Chislehurst,51.412,0.075,United Kingdom,E01000696,BR76NW
23,Farnborough,51.3591,0.0741,United Kingdom,E01000752,BR67DB
24,Chelsfield,51.3582,0.1278,United Kingdom,E01000685,BR66HB
25,West Wickham,51.3765,-0.0193,United Kingdom,E01000835,BR40LR
26,Bickley,51.4003,0.0466,United Kingdom,E01000651,BR12UG
27,Holborn,51.5172,-0.1182,United Kingdom,E01000914,WC1V7EN
28,Highgate,51.5716,-0.1448,United Kingdom,E01002009,N65ER
29,Croydon,51.3727,-0.1099,United Kingdom,E01001014,CR04JF
30,Thornton Heath,51.4002,-0.1086,United Kingdom,E01000996,CR77QB
31,Coulsdon,51.3211,-0.1386,United Kingdom,E01001023,CR52RA
32,Shirley,51.3813,-0.0543,United Kingdom,E01001134,CR07PH
33,Sanderstead,51.3358,-0.0818,United Kingdom,E01001102,CR29JD
34,Ealing,51.5175,-0.2988,United Kingdom,E01001225,W5
35,Southall,51.5121,-0.3779,United Kingdom,E01001213,UB11PZ
36,Acton,51.5135,-0.2707,United Kingdom,E01001199,W36PR
37,Greenford,51.5299,-0.3488,United Kingdom,E01001260,UB68YT
38,Northolt,51.547,-0.362,United Kingdom,E01001319,UB54RN
39,Hanwell,51.5189,-0.3376,United Kingdom,E01001288,W7
40,Perivale,51.5383,-0.3192,United Kingdom,E01001343,UB67RL
41,Sudbury,51.5537,-0.3199,United Kingdom,E01000611,HA0
42,Enfield,51.6522,-0.0808,United Kingdom,E01001450,EN26LT
43,Edmonton,51.6154,-0.0708,United Kingdom,E01001425,N181QU
44,Enfield Lock,51.6686,-0.026,United Kingdom,E01001449,EN36ED
45,Palmers Green,51.6178,-0.1092,United Kingdom,E01001498,Palmers Greencentral postcode placeholder
46,Southgate,51.6316,-0.1265,United Kingdom,E01001519,N146PS
47,Woolwich,51.488,0.063,United Kingdom,E01001696,SE186QL
48,Eltham,51.451,0.052,United Kingdom,E01001615,SE91DH
49,Plumstead,51.49,0.09,United Kingdom,E01001673,SE181BU
50,Kidbrooke,51.465,0.033,United Kingdom,E01001623,SE38AY
51,Hackney,51.5414,-0.0266,United Kingdom,E01001849,E95HL
52,Fulham,51.4828,-0.195,United Kingdom,E01001880,SW61QP
53,Tottenham,51.588,-0.072,United Kingdom,E01002066,N154RX
54,Wood Green,51.5981,-0.1149,United Kingdom,E01002098,N227TW
55,Hornsey,51.587,-0.118,United Kingdom,E01002014,N87NU
56,Harrow,51.5836,-0.3464,United Kingdom,E01002160,HA11RS
57,Pinner,51.5932,-0.3894,United Kingdom,E01002192,HA53NX
58,Stanmore,51.618,-0.314,United Kingdom,E01002226,HA74AH
59,Harrow on the Hill,51.5655,-0.3327,United Kingdom,E01002134,HA1
60,Harrow Weald,51.604,-0.3389999999999999,United Kingdom,E01002142,HA36HT
61,Hatch End,51.601000000000006,-0.3743,United Kingdom,E01002152,HA55SU
62,Romford,51.5768,0.1801,United Kingdom,E01002356,RM70GJ
63,Hornchurch,51.5565,0.2128,United Kingdom,E01002364,RM124NJ
64,Upminster,51.5557,0.2512,United Kingdom,E01002386,RM143BS
65,Hayes,51.5127,-0.4211,United Kingdom,E01002502,UB32AY
66,Uxbridge,51.5404,-0.4778,United Kingdom,E01002523,UB82PF
67,Ruislip,51.576,-0.433,United Kingdom,E01002534,HA47LA
68,West Drayton,51.5043,-0.4646,United Kingdom,E01002526,UB79AT
69,Yiewsley,51.51300000000001,-0.471,United Kingdom,E01002552,UB78ES
70,Ickenham,51.558,-0.4484,United Kingdom,E01002463,UB108TE
